First_pokemon_id,Second_pokemon_id,Winner,Type 1_first,Type 2_first,HP_first,Attack_first,Defense_first,Sp. Atk_first,Sp. Def_first,Speed_first,Generation_first,Legendary_first,height_first,weight_first,base_experience_first,Type 1_second,Type 2_second,HP_second,Attack_second,Defense_second,Sp. Atk_second,Sp. Def_second,Speed_second,Generation_second,Legendary_second,height_second,weight_second,base_experience_second
266,298,298,15,10,50,64,50,45,50,41,2,0,6,720,60,9,1,70,70,40,60,40,60,3,0,10,280,119
702,701,701,9,5,91,90,72,90,129,108,5,1,20,2000,261,15,5,91,129,90,72,90,108,5,1,19,2600,261
191,668,668,4,7,55,40,85,80,105,40,2,0,6,32,142,14,12,75,75,75,125,95,40,5,0,10,345,170
237,683,683,6,12,40,40,40,70,40,20,2,0,7,350,50,2,12,77,120,90,60,90,48,5,0,16,1390,170
151,231,151,15,17,70,60,125,115,70,55,1,0,10,350,173,0,15,20,10,230,10,230,5,2,0,6,205,177
192,134,134,14,7,40,50,45,70,45,70,2,0,2,20,64,11,14,65,50,35,115,95,95,1,0,14,406,159
220,763,763,0,12,50,65,90,35,35,15,2,0,6,72,58,17,12,50,53,62,58,63,44,6,0,5,83,66
302,31,31,17,7,40,30,30,55,30,85,3,0,6,95,54,3,12,35,55,40,50,50,90,1,0,4,60,112
442,130,130,12,7,40,55,30,30,30,60,4,0,3,20,49,17,12,30,45,55,70,55,85,1,0,8,345,68
701,624,701,15,5,91,129,90,72,90,108,5,1,19,2600,261,8,12,38,30,85,55,65,30,5,0,5,15,61
15,283,283,0,12,50,20,55,25,25,30,1,0,7,99,72,17,10,100,110,90,85,90,60,3,0,15,819,241
151,87,151,15,17,70,60,125,115,70,55,1,0,10,350,173,17,14,95,75,110,100,80,30,1,0,16,785,172
763,448,448,17,12,50,53,62,58,63,44,6,0,5,83,66,0,12,77,85,51,55,51,65,4,0,10,255,134
143,263,263,17,11,130,85,80,85,95,60,1,0,25,2200,187,3,12,90,85,75,115,100,115,2,1,19,1780,261
365,240,240,12,7,45,40,60,40,75,50,3,0,4,12,62,11,10,100,100,80,60,60,50,2,0,11,558,158
563,578,563,17,12,95,100,85,108,70,70,5,0,15,946,238,14,12,116,55,85,107,95,29,5,0,11,605,170
440,687,687,17,12,64,66,68,81,76,50,4,0,8,230,142,1,16,65,125,100,60,70,70,5,0,16,700,172
373,441,441,17,10,110,78,73,76,71,60,3,0,9,236,164,17,16,84,86,88,111,101,60,4,0,17,845,239
654,671,671,17,8,55,40,50,65,85,40,5,0,12,330,67,8,6,60,55,90,145,90,80,5,0,10,343,234
609,649,649,9,12,45,35,50,70,50,30,5,0,5,66,56,3,7,55,75,60,75,60,103,5,0,4,50,150
270,708,270,14,7,106,90,130,90,154,110,2,1,52,2160,306,2,3,100,150,120,120,100,90,5,1,29,3450,306
626,767,767,17,15,54,78,103,53,45,22,5,0,7,165,71,15,2,58,89,77,45,45,48,6,0,8,260,72
139,451,139,12,12,75,100,95,40,70,110,1,0,14,884,172,3,12,80,120,79,95,79,70,4,0,14,420,235
455,549,549,15,12,97,165,60,65,50,58,4,0,16,1025,173,17,12,100,100,100,100,100,100,4,0,3,14,270
181,301,301,0,7,55,35,50,55,110,85,2,0,14,356,137,12,7,60,85,60,50,50,125,3,0,7,198,159
208,184,184,9,12,75,75,55,105,85,30,2,0,8,85,149,13,7,85,90,80,70,80,130,2,0,18,750,241
260,381,381,6,12,45,75,37,70,55,83,2,0,7,214,73,15,0,75,125,100,70,80,45,3,0,15,682,173
621,287,287,1,5,50,75,70,35,70,48,5,0,6,118,70,12,12,38,30,41,30,41,60,3,0,4,175,56
406,134,406,17,12,43,30,55,40,65,97,3,0,6,87,116,11,14,65,50,35,115,95,95,1,0,14,406,159
564,242,242,12,12,45,55,39,35,39,42,5,0,5,116,51,17,12,35,65,35,65,35,65,2,0,6,120,60
579,242,242,12,7,50,55,50,36,30,43,5,0,3,21,53,17,12,35,65,35,65,35,65,2,0,6,120,60
200,719,200,17,4,100,50,80,60,80,50,2,0,8,285,189,9,12,56,61,65,48,45,38,6,0,4,90,63
376,135,376,10,14,40,40,55,40,70,55,3,0,5,215,60,3,12,65,83,57,95,85,105,1,0,11,300,172
76,441,441,9,13,50,75,35,70,30,40,1,0,7,40,60,17,16,84,86,88,111,101,60,4,0,17,845,239
667,645,645,14,12,55,55,55,85,55,30,5,0,5,90,67,11,12,51,65,65,80,75,59,5,0,11,410,138
475,400,475,12,12,55,66,44,44,56,85,4,0,4,55,70,11,17,90,60,70,75,70,45,3,0,11,876,144
3,737,737,9,13,80,82,83,100,100,80,1,0,20,1000,236,6,12,86,68,72,109,66,106,6,0,15,815,177
435,45,435,9,10,95,109,105,75,85,56,4,0,22,3100,236,12,4,115,45,20,45,25,20,1,0,5,55,95
231,146,146,0,15,20,10,230,10,230,5,2,0,6,205,177,17,12,130,65,60,110,95,65,1,0,10,290,184
456,260,260,15,16,30,42,118,42,88,30,4,0,5,570,70,6,12,45,75,37,70,55,83,2,0,7,214,73
424,754,424,10,12,100,150,140,100,90,90,3,1,35,9500,302,4,12,101,72,72,99,89,29,6,0,8,155,162
258,779,258,11,14,45,30,15,85,65,65,2,0,4,60,61,8,9,43,70,48,50,60,38,6,0,4,70,62
360,208,208,10,12,45,100,45,45,45,10,3,0,7,150,58,9,12,75,75,55,105,85,30,2,0,8,85,149
723,646,646,6,12,59,59,58,90,70,73,6,0,10,145,143,11,12,71,95,85,110,95,79,5,0,13,575,241
734,673,673,0,12,45,22,60,27,30,29,6,0,3,84,75,2,12,66,117,70,40,50,67,5,0,10,360,144
141,721,141,17,7,95,125,79,60,100,81,1,0,65,2350,189,9,5,88,107,122,74,75,64,6,0,16,900,239
244,741,244,11,7,45,55,45,65,45,75,2,0,9,160,116,9,12,66,65,48,62,57,52,6,0,9,310,70
509,217,509,17,7,45,20,50,60,120,50,4,0,10,650,69,14,12,48,72,48,72,48,48,2,0,5,50,118
633,44,633,1,12,60,105,60,120,60,105,5,0,16,811,179,6,12,73,76,75,81,100,100,1,0,11,199,177
595,719,595,5,12,105,140,95,55,65,45,5,0,14,870,227,9,12,56,61,65,48,45,38,6,0,4,90,63
606,40,606,0,13,60,100,89,55,69,112,5,0,25,2005,218,13,10,81,102,77,85,75,85,1,0,14,620,227
368,598,368,12,12,73,115,60,60,60,90,3,0,13,403,160,17,10,105,95,75,85,75,74,5,0,15,620,229
746,584,746,14,12,62,48,54,63,60,68,6,0,3,35,71,15,12,55,75,85,25,25,15,5,0,4,180,56
303,198,303,17,7,60,50,100,85,70,65,3,0,12,280,154,9,12,75,80,95,90,100,50,2,0,4,58,221
169,701,701,9,12,80,82,100,83,100,80,2,0,18,1005,236,15,5,91,129,90,72,90,108,5,1,19,2600,261
