First_pokemon_id,Type 1_first,Type 2_first,Second_pokemon_id,Type 1_second,Type 2_second,Height_diff,Weight_diff,Experience_diff,Total_stats_diff,Generation_diff,Legendary_diff,Winner
266,15,10,298,9,1,-4,440,-59,-40,-1,0,298
702,9,5,701,15,5,1,-600,0,0,0,0,701
191,4,7,668,14,12,-4,-313,-28,-80,-3,0,668
237,6,12,683,2,12,-9,-1040,-120,-235,-3,0,683
151,15,17,231,0,15,4,145,-4,-10,-1,0,151
192,14,7,134,11,14,-12,-386,-95,-135,1,0,134
220,0,12,763,17,12,1,-11,-8,-40,-4,0,763
302,17,7,31,3,12,2,35,-58,-50,2,0,31
442,12,7,130,17,12,-5,-325,-19,-95,3,0,130
701,15,5,624,8,12,14,2585,200,277,0,1,701
15,0,12,283,17,10,-8,-720,-169,-330,-2,0,283
151,15,17,87,17,14,-6,-435,1,5,0,0,151
763,17,12,448,0,12,-5,-172,-68,-54,2,0,448
143,17,11,263,3,12,6,420,-74,-45,-1,-1,263
365,12,7,240,11,10,-7,-546,-96,-140,1,0,240
563,17,12,578,14,12,4,341,68,41,0,0,563
440,17,12,687,1,16,-8,-470,-30,-85,-1,0,687
373,17,10,441,17,16,-8,-609,-75,-62,-1,0,441
654,17,8,671,8,6,2,-13,-167,-185,0,0,671
609,9,12,649,3,7,1,16,-94,-148,0,0,649
270,14,7,708,2,3,23,-1290,0,0,-3,0,270
626,17,15,767,15,2,-1,-95,-1,-7,-1,0,767
139,12,12,451,3,12,0,464,-63,-33,-3,0,139
455,15,12,549,17,12,13,1011,-97,-105,0,0,549
181,0,7,301,12,7,7,158,-22,-40,-1,0,301
208,9,12,184,13,7,-10,-665,-92,-110,0,0,184
260,6,12,381,15,0,-8,-468,-100,-130,-1,0,381
621,1,5,287,12,12,2,-57,14,108,2,0,287
406,17,12,134,11,14,-8,-319,-43,-125,2,0,406
564,12,12,242,17,12,-1,-4,-9,-45,3,0,242
579,12,7,242,17,12,-3,-99,-7,-36,3,0,242
200,17,4,719,9,12,4,195,126,107,-4,0,200
376,10,14,135,3,12,-6,-85,-112,-190,2,0,376
76,9,13,441,17,16,-10,-805,-179,-230,-3,0,441
667,14,12,645,11,12,-6,-320,-71,-60,0,0,645
475,12,12,400,11,17,-7,-821,-74,-60,1,0,475
3,9,13,737,6,12,5,185,59,18,-5,0,737
435,9,10,45,12,4,17,3045,141,255,3,0,435
231,0,15,146,17,12,-4,-85,-7,-20,1,0,146
