Type 1_first,Type 2_first,Type 1_second,Type 2_second,Height_diff,Weight_diff,Experience_diff,Total_stats_diff,Generation_diff,Legendary_diff,Winner
15,10,9,1,-4,440,-59,-40,-1,0,0
9,5,15,5,1,-600,0,0,0,0,0
4,7,14,12,-4,-313,-28,-80,-3,0,0
6,12,2,12,-9,-1040,-120,-235,-3,0,0
15,17,0,15,4,145,-4,-10,-1,0,1
14,7,11,14,-12,-386,-95,-135,1,0,0
0,12,17,12,1,-11,-8,-40,-4,0,0
17,7,3,12,2,35,-58,-50,2,0,0
12,7,17,12,-5,-325,-19,-95,3,0,0
15,5,8,12,14,2585,200,277,0,1,1
0,12,17,10,-8,-720,-169,-330,-2,0,0
15,17,17,14,-6,-435,1,5,0,0,1
17,12,0,12,-5,-172,-68,-54,2,0,0
17,11,3,12,6,420,-74,-45,-1,-1,0
12,7,11,10,-7,-546,-96,-140,1,0,0
17,12,14,12,4,341,68,41,0,0,1
17,12,1,16,-8,-470,-30,-85,-1,0,0
17,10,17,16,-8,-609,-75,-62,-1,0,0
17,8,8,6,2,-13,-167,-185,0,0,0
9,12,3,7,1,16,-94,-148,0,0,0
14,7,2,3,23,-1290,0,0,-3,0,1
17,15,15,2,-1,-95,-1,-7,-1,0,0
12,12,3,12,0,464,-63,-33,-3,0,1
15,12,17,12,13,1011,-97,-105,0,0,0
0,7,12,7,7,158,-22,-40,-1,0,0
9,12,13,7,-10,-665,-92,-110,0,0,0
6,12,15,0,-8,-468,-100,-130,-1,0,0
1,5,12,12,2,-57,14,108,2,0,0
17,12,11,14,-8,-319,-43,-125,2,0,1
12,12,17,12,-1,-4,-9,-45,3,0,0
12,7,17,12,-3,-99,-7,-36,3,0,0
17,4,9,12,4,195,126,107,-4,0,1
10,14,3,12,-6,-85,-112,-190,2,0,1
9,13,17,16,-10,-805,-179,-230,-3,0,0
14,12,11,12,-6,-320,-71,-60,0,0,0
12,12,11,17,-7,-821,-74,-60,1,0,1
9,13,6,12,5,185,59,18,-5,0,0
9,10,12,4,17,3045,141,255,3,0,1
0,15,17,12,-4,-85,-7,-20,1,0,0
15,16,6,12,-2,356,-3,-15,2,0,0
10,12,4,12,27,9345,140,208,-3,1,1
11,14,8,9,0,-10,-1,-4,-4,0,1
10,12,9,12,-1,65,-91,-135,1,0,0
6,12,11,12,-3,-430,-98,-126,1,0,0
0,12,2,12,-7,-276,-69,-197,1,0,0
